"domain","when blocked","block reason",obfuscate
"076.ne.jp","taken from a.rathersafe.space","national socialism, racism, TransMisia lolicon",false
"101010.pl","2022-07-08","fascism, HomoMisia, TransMisia",false
"alive.bar","taken from fediblock.org","national socialism",false
"animalliberation.social","taken from fediblock.org","racism, AntiSemitism, TransMisia",false
"anon-kenkai.com","taken from fediblock.org","national socialism, lolicon, racism, HomoMisia",false
"anti-degeneracy.club","taken from a.rathersafe.space","TransMisia",false
"beefyboys.club","taken from a.rathersafe.space","national socialism",false
"bestgore.fun","taken from a.rathersafe.space","gore, making fun of executions",false
"clubcyberia.co","taken from a.rathersafe.space","HomoMisia, racism",false
"clubcyberia.co","taken from fediblock.org","HomoMisia, TransMisia, racism",false
"darknight-coffee.org","taken from fediblock.org","TransMisia",false
"eatthebugs.social","2022-11-09","antisemitism, harassment",false
"eientei.org","taken from a.rathersafe.space","AntiSemitism, conspiracism",false
"etiketi.de","taken from a.rathersafe.space","conspiracism",false
"eveningzoo.club","2022-08-24","HomoMisia",false
"fbxl.net","taken from a.rathersafe.space","admin wish",false
"fluf.club","taken from fediblock.org","ableism, TransMisia",false
"freak.university","taken from a.rathersafe.space","pedophilia",false
"freespeech.group","taken from fediblock.org","harassment",false
"freetalklive.com","2022-07-08","ancap, libertarianism",false
"freethinkers.lgbt","taken from fediblock.org","harassment",false
"froth.zone","2022-11-26","harassment, racism",false
"genderheretics.xyz","2022-11-26","TransMisia, making fun of suicide",false
"geofront.rocks","2022-12-04","QueerMisia, racism",false
"gorf.pub","taken from fediblock.org","TransMisia, HomoMisia, AntiSemitism",false
"handholding.io","taken from a.rathersafe.space","TransMisia, racism",false
"helladoge.com","taken from a.rathersafe.space","cryptoscam, spam",false
"hentai.baby","taken from fediblock.org","lolicon",false
"hitchhiker.social","taken from fediblock.org","racism, harassment",false
"honkwerx.tech","taken from a.rathersafe.space","gore, TransMisia",false
"justicewarrior.social","taken from a.rathersafe.space","qanon conspiracism",false
"kcl.academy","2022-07-08","(covid/ukraine) conspiracy theories",false
"kenfm.de","taken from fediblock.org","racism, conspiracism, covid denial",false
"kitsunemimi.club","taken from a.rathersafe.space","racism, harassment, TransMisia",false
"kiwifarms.net","2022-11-28","harassment, HomoMisia, TransMisia, racism",false
"lain.com","taken from fediblock.org","HomoMisia, ableism",false
"leafposter.club","taken from a.rathersafe.space","TransMisia",false
"liberdon.com","2022-07-08","ancap, libertarianism",false
"ligma.pro","taken from fediblock.org","harassment, TransMisia, ableism",false
"lolicon.rocks","taken from fediblock.org","racism, national socialism, AntiSemitism, conspiracism, lolicon, TransMisia",false
"lolison.network","2022-12-04","lolicon, child porn",false
"lolison.top","2022-12-08","lolicon, child porn",false
"lovingexpressions.net","taken from a.rathersafe.space","national socialism",false
"masochi.st","taken from a.rathersafe.space","harassment, racism, TransMisia",false
"masthead.social","taken from fediblock.org","lack of moderation, conspiracism, TransMisia",false
"mastodon.cf","2022-12-12","pedophilia",false
"milker.cafe","2022-07-08","lolicon",false
"mstdn.jp","taken from fediblock.org","national socailsim",false
"mugicha.club","2022-12-01","national socialism, racism",false
"narrativerry.xyz","taken from a.rathersafe.space","HomoMisia, glorifying killings",false
"nobodyhasthe.biz","taken from a.rathersafe.space",,false
"pedo.school","taken from a.rathersafe.space","pedophilia",false
"pmth.us","2022-07-11","TransMisia",false
"poster.place","2022-11-30","racism, queermisia",false
"privex.social","2022-11-26","fashism, harassment",false
"pube.tk","taken from fediblock.org","HomoMisia",false
"quanta.wiki","taken from fediblock.org","qanon conspiracism, trumpism",false
"rapemeat.solutions","2022-08-09","Rape, pedophilia, lolicon",false
"rojogato.com","2022-08-24","Racism, TransMisia, ableism",false
"seal.cafe","2022-08-24","TransMisia",false
"shortstackran.ch","taken from a.rathersafe.space","TransMisia, racism, ableism, harassment",false
"shota.house","2022-12-04","national socialism, pedophilia, ableism, QueerMisia",false
"skyshanty.xyz","taken from a.rathersafe.space","HomoMisia",false
"slash.cl","taken from a.rathersafe.space","national socialism",false
"sleepy.cafe","taken from a.rathersafe.space","rape, TransMisia, HomoMisia",false
"sneed.social","2022-11-28","HomoMisia, racism, TransMisia",false
"sonichu.com","2022-11-14","harassment, racism",false
"soykaf.com","taken from a.rathersafe.space","HomoMisia",false
"springbo.cc","taken from fediblock.org","racism, TransMisia",false
"strelizia.net","taken from a.rathersafe.space","national socialism",false
"tastingtraffic.net","2022-11-28","QueerMisia",false
"teci.world","taken from fediblock.org","qanon conspiracism, trumpism",false
"tkammer.de","2022-12-12","Transmisia",false
"trumpislovetrumpis.life","taken from fediblock.org","facism, racism",false
"truthsocial.co.in","2022-07-08","fashism",false
"urspringer.de","taken from fediblock.org","conspiracism",false
"uwu.social","taken from a.rathersafe.space","national socialism",false
"valkyrie.world","2022-12-05","harassment, QueerMisia, ableism",false
"varishangout.net","taken from a.rathersafe.space","TransMisia, lolicon, harassment",false
"wiki-tube.de","taken from fediblock.org","AntiSemitism, conspiracism, covid denial",false
"wolfgirl.bar","taken from a.rathersafe.space","racism, TransMisia",false
"youjo.love","taken from a.rathersafe.space","pedophilia",false
"срёт.онлайн","2022-07-08","racism, HomoMisia, TransMisia",false