"domain","when blocked","block reason"
"076.ne.jp","taken from a.rathersafe.space","national socialism, racism, TransMisia lolicon"
"101010.pl","2022-07-08","fascism, HomoMisia, TransMisia"
"alive.bar","taken from fediblock.org","national socialism"
"animalliberation.social","taken from fediblock.org","racism, AntiSemitism, TransMisia"
"anon-kenkai.com","taken from fediblock.org","national socialism, lolicon, racism, HomoMisia"
"anti-degeneracy.club","taken from a.rathersafe.space","TransMisia"
"beefyboys.club","taken from a.rathersafe.space","national socialism"
"bestgore.fun","taken from a.rathersafe.space","gore, making fun of executions"
"clubcyberia.co","taken from a.rathersafe.space","HomoMisia, racism"
"clubcyberia.co","taken from fediblock.org","HomoMisia, TransMisia, racism"
"darknight-coffee.org","taken from fediblock.org","TransMisia"
"eatthebugs.social","2022-11-09","antisemitism, harassment"
"eientei.org","taken from a.rathersafe.space","AntiSemitism, conspiracism"
"etiketi.de","taken from a.rathersafe.space","conspiracism"
"eveningzoo.club","2022-08-24","HomoMisia"
"fbxl.net","taken from a.rathersafe.space","admin wish"
"fluf.club","taken from fediblock.org","ableism, TransMisia"
"freak.university","taken from a.rathersafe.space","pedophilia"
"freespeech.group","taken from fediblock.org","harassment"
"freetalklive.com","2022-07-08","ancap, libertarianism"
"freethinkers.lgbt","taken from fediblock.org","harassment"
"froth.zone","2022-11-26","harassment, racism"
"genderheretics.xyz","2022-11-26","TransMisia, making fun of suicide"
"geofront.rocks","2022-12-04","QueerMisia, racism"
"gorf.pub","taken from fediblock.org","TransMisia, HomoMisia, AntiSemitism"
"handholding.io","taken from a.rathersafe.space","TransMisia, racism"
"helladoge.com","taken from a.rathersafe.space","cryptoscam, spam"
"hentai.baby","taken from fediblock.org","lolicon"
"hitchhiker.social","taken from fediblock.org","racism, harassment"
"honkwerx.tech","taken from a.rathersafe.space","gore, TransMisia"
"justicewarrior.social","taken from a.rathersafe.space","qanon conspiracism"
"kcl.academy","2022-07-08","(covid/ukraine) conspiracy theories"
"kenfm.de","taken from fediblock.org","racism, conspiracism, covid denial"
"kitsunemimi.club","taken from a.rathersafe.space","racism, harassment, TransMisia"
"kiwifarms.net","2022-11-28","harassment, HomoMisia, TransMisia, racism"
"lain.com","taken from fediblock.org","HomoMisia, ableism"
"leafposter.club","taken from a.rathersafe.space","TransMisia"
"liberdon.com","2022-07-08","ancap, libertarianism"
"ligma.pro","taken from fediblock.org","harassment, TransMisia, ableism"
"lolicon.rocks","taken from fediblock.org","racism, national socialism, AntiSemitism, conspiracism, lolicon, TransMisia"
"lolison.network","2022-12-04","lolicon, child porn"
"lolison.top","2022-12-08","lolicon, child porn"
"lovingexpressions.net","taken from a.rathersafe.space","national socialism"
"masochi.st","taken from a.rathersafe.space","harassment, racism, TransMisia"
"masthead.social","taken from fediblock.org","lack of moderation, conspiracism, TransMisia"
"mastodon.cf","2022-12-12","pedophilia"
"milker.cafe","2022-07-08","lolicon"
"mstdn.jp","taken from fediblock.org","national socailsim"
"mugicha.club","2022-12-01","national socialism, racism"
"narrativerry.xyz","taken from a.rathersafe.space","HomoMisia, glorifying killings"
"nobodyhasthe.biz","taken from a.rathersafe.space",
"pedo.school","taken from a.rathersafe.space","pedophilia"
"pmth.us","2022-07-11","TransMisia"
"poster.place","2022-11-30","racism, queermisia"
"privex.social","2022-11-26","fashism, harassment"
"pube.tk","taken from fediblock.org","HomoMisia"
"quanta.wiki","taken from fediblock.org","qanon conspiracism, trumpism"
"rapemeat.solutions","2022-08-09","Rape, pedophilia, lolicon"
"rojogato.com","2022-08-24","Racism, TransMisia, ableism"
"seal.cafe","2022-08-24","TransMisia"
"shortstackran.ch","taken from a.rathersafe.space","TransMisia, racism, ableism, harassment"
"shota.house","2022-12-04","national socialism, pedophilia, ableism, QueerMisia"
"skyshanty.xyz","taken from a.rathersafe.space","HomoMisia"
"slash.cl","taken from a.rathersafe.space","national socialism"
"sleepy.cafe","taken from a.rathersafe.space","rape, TransMisia, HomoMisia"
"sneed.social","2022-11-28","HomoMisia, racism, TransMisia"
"sonichu.com","2022-11-14","harassment, racism"
"soykaf.com","taken from a.rathersafe.space","HomoMisia"
"springbo.cc","taken from fediblock.org","racism, TransMisia"
"strelizia.net","taken from a.rathersafe.space","national socialism"
"tastingtraffic.net","2022-11-28","QueerMisia"
"teci.world","taken from fediblock.org","qanon conspiracism, trumpism"
"tkammer.de","2022-12-12","Transmisia"
"trumpislovetrumpis.life","taken from fediblock.org","facism, racism"
"truthsocial.co.in","2022-07-08","fashism"
"urspringer.de","taken from fediblock.org","conspiracism"
"uwu.social","taken from a.rathersafe.space","national socialism"
"valkyrie.world","2022-12-05","harassment, QueerMisia, ableism"
"varishangout.net","taken from a.rathersafe.space","TransMisia, lolicon, harassment"
"wiki-tube.de","taken from fediblock.org","AntiSemitism, conspiracism, covid denial"
"wolfgirl.bar","taken from a.rathersafe.space","racism, TransMisia"
"youjo.love","taken from a.rathersafe.space","pedophilia"
"срёт.онлайн","2022-07-08","racism, HomoMisia, TransMisia"